开始时间,结束时间,字幕内容,字幕颜色
0:12:16.43,0:12:17.76,In front of the Fuma,,
0:12:17.89,0:12:19.43,you should not keep up the airs of a Princess,,
0:12:19.87,0:12:21.94,but a suitable amount of presence as royalty is needed.,
0:12:22.98,0:12:27.01,It’s fine to give the Fuma some face over inconsequential matters,,
0:12:27.44,0:12:28.92,but when it comes to important issues,,
0:12:28.92,0:12:30.70,you must stand firm.,
0:12:32.47,0:12:34.78,Oh you, how are you going to have a child of your own,
0:12:34.78,0:12:36.47,if you keep this up?,
0:12:37.13,0:12:38.01,Nangong Jingnu: Aiya,,#FF7D40
0:12:39.10,0:12:40.95,I, we,,#FF7D40
0:12:41.92,0:12:43.08,we…,#FF7D40
0:12:44.38,0:12:45.15,Nangong Sunu: For dinner,,
0:12:45.15,0:12:47.95,I’ll tell the kitchen to prepare a nourishing medicinal meal for brother-in-law.,
0:12:48.82,0:12:50.87,You should just light the lantern tonight.,
0:12:51.19,0:12:52.31,When a married couple fights,,
0:12:52.31,0:12:54.05,the argument starts before bed, and ends after it.,
0:12:56.77,0:12:57.70,Nangong Jingnu: **That’s right.**,#FF7D40
0:12:58.47,0:12:59.51,**Now that I think about it,**,#FF7D40
0:12:59.71,0:13:01.35,**it’s been a long time since I lit the lantern**,#FF7D40
0:13:01.35,0:13:03.16,**for Qi Yanto come and accompany me.**,#FF7D40
0:13:04.07,0:13:06.55,**We should have a good heart-to-heart talk.**,#FF7D40
0:13:07.93,0:13:09.89,Nangong Jingnu: Mm,alright.,#FF7D40
0:13:10.46,0:13:13.22,I’ll go back tonight and tell them to light the lantern…,#FF7D40
0:13:13.22,0:13:15.65,Nangong Sunu: Hehehe.,
0:13:16.08,0:13:16.91,Nangong Sunu: Xiao-mei~,
0:13:17.30,0:13:17.95,Nangong Jingnu: Hm?,#FF7D40
0:13:17.95,0:13:20.26,Nangong Sunu: Is brother-in-law heavy?,
0:13:20.73,0:13:21.39,Nangong Jingnu: Huh?,#FF7D40
0:13:22.21,0:13:23.85,How could he be heavy,,#FF7D40
0:13:24.48,0:13:26.69,look at how skinny he is.,#FF7D40
0:13:28.39,0:13:29.06,Nangong Sunu/Nangong Shunu: Hehe~,
0:13:29.95,0:13:31.50,Nangong Jingnu: Why are you two laughing?,#FF7D40
0:13:31.70,0:13:32.61,Nangong Sunu: Aiya~,
0:13:32.67,0:13:34.19,Qi Yan really isn’t heavy…,
0:13:35.45,0:13:36.67,Nangong Sunu: Who’s asking you that.,
0:13:36.91,0:13:37.76,What I’m asking is,,
